"Date","Price","Open","High","Low","Vol.","Change %"
"03/08/2024","31.9639","31.9384","31.9645","31.8375","","0.08%"
"03/07/2024","31.9382","31.8043","31.9501","31.7412","","0.42%"
"03/06/2024","31.8036","31.7054","31.9149","31.6682","","0.31%"
"03/05/2024","31.7054","31.5764","31.8018","31.5525","","0.41%"
"03/04/2024","31.5764","31.4045","31.7714","31.3540","","0.72%"
"03/01/2024","31.3514","31.2957","31.4549","31.2080","","0.18%"
"02/29/2024","31.2955","31.2160","31.3804","31.1775","","0.25%"
"02/28/2024","31.2159","31.1508","31.3881","31.0960","","0.21%"
"02/27/2024","31.1516","31.1326","31.3392","31.0655","","0.05%"
"02/26/2024","31.1352","31.0994","31.3447","31.0040","","0.31%"
"02/23/2024","31.0401","31.0794","31.0954","30.7520","","-0.07%"
"02/22/2024","31.0631","31.0222","31.1028","30.6977","","0.13%"
"02/21/2024","31.0215","30.9279","31.1842","30.8738","","0.34%"
"02/20/2024","30.9151","30.8723","30.9788","30.8184","","0.14%"
"02/19/2024","30.8731","30.8492","30.8790","30.7595","","0.10%"
"02/16/2024","30.8428","30.8101","30.8617","30.6700","","0.11%"
"02/15/2024","30.8102","30.7556","30.9890","30.3015","","0.18%"
"02/14/2024","30.7542","30.7190","30.9367","30.6700","","0.09%"
"02/13/2024","30.7278","30.7178","30.7330","30.2166","","0.03%"
"02/12/2024","30.7175","30.6870","30.7607","30.5711","","0.05%"
"02/09/2024","30.7008","30.6718","30.7471","30.2078","","0.09%"
"02/08/2024","30.6717","30.5977","30.6768","30.5055","","0.25%"
"02/07/2024","30.5962","30.5767","30.6073","30.5225","","0.06%"
"02/06/2024","30.5767","30.5416","30.8063","30.2863","","0.11%"
"02/05/2024","30.5428","30.6782","30.7049","30.4437","","0.18%"
"02/02/2024","30.4885","30.4483","30.5792","30.3470","","0.13%"
"02/01/2024","30.4482","30.3652","30.4573","30.2870","","0.27%"
"01/31/2024","30.3648","30.3633","30.3812","30.2310","","0.00%"
"01/30/2024","30.3644","30.3540","30.4614","30.2904","","0.03%"
"01/29/2024","30.3541","30.3342","30.4211","30.2462","","0.31%"
"01/26/2024","30.2596","30.3019","30.6496","30.0223","","-0.14%"
"01/25/2024","30.3020","30.2522","30.3975","30.2030","","0.16%"
"01/24/2024","30.2530","30.2845","30.3589","30.0855","","-0.10%"
"01/23/2024","30.2843","30.2679","30.3087","29.9769","","0.06%"
"01/22/2024","30.2656","30.2148","30.2745","30.1273","","0.19%"
"01/19/2024","30.2069","30.1500","30.2382","30.0915","","0.16%"
"01/18/2024","30.1582","30.1439","30.2017","30.0685","","0.05%"
"01/17/2024","30.1438","30.1224","30.1550","30.0650","","0.07%"
"01/16/2024","30.1217","30.0962","30.3321","29.9096","","0.09%"
"01/15/2024","30.0948","30.0865","30.1816","29.9130","","-0.02%"
"01/12/2024","30.1012","30.0672","30.2019","29.9600","","0.11%"
"01/11/2024","30.0669","29.8650","30.4055","29.8266","","0.70%"
"01/10/2024","29.8575","29.9669","29.9783","29.8393","","-0.36%"
